DATE,W729RC1
2016-01-01,547.6
2016-02-01,550.5
2016-03-01,553.2
2016-04-01,555.6
2016-05-01,559.2
2016-06-01,561.5
2016-07-01,563.5
2016-08-01,566.2
2016-09-01,569.6
2016-10-01,574.0
2016-11-01,575.9
2016-12-01,575.8
2017-01-01,575.0
2017-02-01,572.5
2017-03-01,569.7
2017-04-01,566.6
2017-05-01,566.8
2017-06-01,570.3
2017-07-01,576.8
2017-08-01,579.9
2017-09-01,579.8
2017-10-01,576.6
2017-11-01,575.0
2017-12-01,575.8
2018-01-01,578.4
2018-02-01,581.7
2018-03-01,585.4
2018-04-01,589.6
2018-05-01,593.1
2018-06-01,595.0
2018-07-01,596.1
2018-08-01,595.7
2018-09-01,593.6
2018-10-01,590.0
2018-11-01,589.0
2018-12-01,590.4
2019-01-01,594.5
2019-02-01,599.0
2019-03-01,604.5
2019-04-01,610.3
2019-05-01,615.2
2019-06-01,619.5
2019-07-01,621.8
2019-08-01,622.7
2019-09-01,622.2
2019-10-01,619.8
2019-11-01,618.7
2019-12-01,619.6
2020-01-01,615.8
2020-02-01,620.8
2020-03-01,635.7
2020-04-01,660.9
2020-05-01,677.6
2020-06-01,686.1
